# ZZ,NN,Existence
17,36,bound
17,37,unbound
17,38,bound
17,39,unbound
17,40,unbound
17,41,unbound
17,42,unbound
17,43,unbound
17,44,unbound
17,45,unbound
17,46,unbound
17,47,unbound
17,48,unbound
17,49,unbound
17,50,unbound
18,12,unbound
18,13,bound
18,14,bound
18,15,bound
18,16,bound
18,17,bound
18,18,bound
18,19,bound
18,20,bound
18,21,bound
18,22,bound
18,23,bound
18,24,bound
18,25,bound
18,26,bound
18,27,bound
18,28,bound
18,29,bound
18,30,bound
18,31,bound
18,32,bound
18,33,bound
18,34,bound
18,35,bound
18,36,bound
18,37,unbound
18,38,bound
18,39,unbound
18,40,bound
18,41,unbound
18,42,bound
18,43,unbound
18,44,unbound
18,45,unbound
18,46,unbound
18,47,unbound
18,48,unbound
18,49,unbound
18,50,unbound
18,51,unbound
18,52,unbound
19,12,unbound
19,13,bound
19,14,bound
19,15,bound
19,16,bound
19,17,bound
19,18,bound
19,19,bound
19,20,bound
19,21,bound
19,22,bound
19,23,bound
19,24,bound
19,25,bound
19,26,bound
19,27,bound
19,28,bound
19,29,bound
19,30,bound
19,31,bound
19,32,bound
19,33,bound
19,34,bound
19,35,bound
19,36,bound
19,37,bound
19,38,bound
19,39,bound
19,40,bound
19,41,unbound
19,42,bound
19,43,unbound
19,44,bound
19,45,unbound
19,46,bound
19,47,unbound
19,48,unbound
19,49,unbound
19,50,unbound
19,51,unbound
19,52,unbound
19,53,unbound
20,13,unbound
20,14,bound
20,15,bound
20,16,bound
20,17,bound
20,18,bound
20,19,bound
20,20,bound
20,21,bound
20,22,bound
20,23,bound
20,24,bound
20,25,bound
20,26,bound
20,27,bound
20,28,bound
20,29,bound
20,30,bound
20,31,bound
20,32,bound
20,33,bound
20,34,bound
20,35,bound
20,36,bound
20,37,bound
20,38,bound
20,39,bound
20,40,bound
20,41,unbound
20,42,bound
20,43,unbound
20,44,bound
20,45,unbound
20,46,bound
20,47,unbound
20,48,bound
20,49,unbound
20,50,bound
20,51,unbound
20,52,unbound
20,53,unbound
20,54,unbound
20,55,unbound
20,56,unbound
20,57,unbound
21,13,unbound
21,14,bound
21,15,bound
21,16,bound
21,17,bound
21,18,bound
21,19,bound
21,20,bound
21,21,bound
21,22,bound
21,23,bound
21,24,bound
21,25,bound
21,26,bound
21,27,bound
21,28,bound
21,29,bound
21,30,bound
21,31,bound
21,32,bound
21,33,bound
21,34,bound
21,35,bound
21,36,bound
21,37,bound
21,38,bound
21,39,bound
21,40,bound
21,41,bound
21,42,bound
21,43,bound
21,44,bound
21,45,bound
21,46,bound
21,47,bound
21,48,bound
21,49,unbound
21,50,bound
21,51,unbound
21,52,bound
21,53,unbound
21,54,unbound
21,55,unbound
21,56,unbound
21,57,unbound
22,15,unbound
22,16,bound
22,17,bound
22,18,bound
22,19,bound
22,20,bound
22,21,bound
22,22,bound
22,23,bound
22,24,bound
22,25,bound
22,26,bound
22,27,bound
22,28,bound
22,29,bound
22,30,bound
22,31,bound
22,32,bound
22,33,bound
22,34,bound
22,35,bound
22,36,bound
22,37,bound
22,38,bound
22,39,bound
22,40,bound
22,41,bound
22,42,bound
22,43,bound
22,44,bound
22,45,bound
22,46,bound
22,47,bound
22,48,bound
22,49,bound
22,50,bound
22,51,unbound
22,52,bound
22,53,unbound
22,54,unbound
22,55,unbound
22,56,unbound
22,57,unbound
22,58,unbound
22,59,unbound
22,62,unbound
22,63,unbound
23,15,unbound
23,16,bound
23,17,bound
23,18,bound
23,19,bound
23,20,bound
23,21,bound
23,22,bound
23,23,bound
23,24,bound
23,25,bound
23,26,bound
23,27,bound
23,28,bound
23,29,bound
23,30,bound
23,31,bound
23,32,bound
23,33,bound
23,34,bound
23,35,bound
23,36,bound
23,37,bound
23,38,bound
23,39,bound
23,40,bound
23,41,bound
23,42,bound
23,43,bound
23,44,bound
23,45,bound
23,46,bound
23,47,bound
23,48,bound
23,49,bound
23,50,bound
23,51,unbound
23,52,bound
23,53,unbound
23,54,unbound
23,55,unbound
23,56,unbound
23,57,unbound
23,58,unbound
23,59,unbound
23,60,unbound
23,61,unbound
23,62,unbound
23,63,unbound
23,64,unbound
23,65,unbound
24,16,unbound
24,17,bound
24,18,bound
24,19,bound
24,20,bound
24,21,bound
24,22,bound
24,23,bound
24,24,bound
24,25,bound
24,26,bound
24,27,bound
24,28,bound
24,29,bound
24,30,bound
24,31,bound
24,32,bound
24,33,bound
24,34,bound
24,35,bound
24,36,bound
24,37,bound
24,38,bound
24,39,bound
24,40,bound
24,41,bound
24,42,bound
24,43,bound
24,44,bound
24,45,bound
24,46,bound
24,47,bound
24,48,bound
24,49,bound
24,50,bound
24,51,unbound
24,52,bound
24,53,unbound
24,54,bound
24,55,unbound
24,56,unbound
